DISPOSITION_attached_pic,DISPOSITION_clean_effects,DISPOSITION_comment,DISPOSITION_default,DISPOSITION_dub,DISPOSITION_forced,DISPOSITION_hearing_impaired,DISPOSITION_karaoke,DISPOSITION_lyrics,DISPOSITION_original,DISPOSITION_timed_thumbnails,DISPOSITION_visual_impaired,TAG_album,TAG_artist,TAG_encoder,TAG_genre,TAG_title,TAG_track,avg_frame_rate,bit_rate,bits_per_raw_sample,bits_per_sample,channel_layout,channels,chroma_location,codec_long_name,codec_name,codec_tag,codec_tag_string,codec_time_base,codec_type,coded_height,coded_width,color_primaries,color_range,color_space,color_transfer,display_aspect_ratio,duration,duration_ts,field_order,filename,format_long_name,format_name,has_b_frames,height,id,index,level,max_bit_rate,nb_frames,nb_programs,nb_read_frames,nb_read_packets,nb_streams,pix_fmt,probe_score,profile,r_frame_rate,refs,sample_aspect_ratio,sample_fmt,sample_rate,side_data_type,size,start_pts,start_time,time_base,timecode,width,TAG_AlbumArtist,TAG_WM/MediaPrimaryClassID,TAG_WM/Provider,TAG_WM/ProviderStyle,TAG_WM/Publisher,TAG_WM/UniqueFileIdentifier,TAG_WMFSDKNeeded,TAG_WMFSDKVersion,TAG_Year,TAG_composer,TAG_date,TAG_mp3gain_minmax,TAG_replaygain_track_gain,TAG_replaygain_track_peak,TAG_ENCODEDBY,TAG_PLAY_COUNTER,TAG_PLAY_DATE,TAG_PLAY_TIME,TAG_album_artist,TAG_mp3gain_undo,TAG_WWW
1,0,0,0,0,0,0,0,0,0,0,0,我很忙,周杰伦,LAME3.90.,,最长的电影.mp3,10,0/0,280987,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,470,352,unknown,pc,bt470bg,unknown,0:1,235.885714,21229714,unknown,Jay Chou\我很忙\1310.最长的电影.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,470,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,0:1,s16p,44100,,8285108,2255,0.025056,1/90000,N/A,352,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,上海 一九四三.mp3,6,0/0,322220,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,195.840000,17625600,unknown,Jay Chou\范特西\周杰伦 - 上海 一九四三.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,7887952,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,双截棍.mp3,9,0/0,322162,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,201.064490,18095804,unknown,Jay Chou\范特西\周杰伦 - 双截棍.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,8096921,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,威廉古堡.mp3,8,0/0,321840,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,236.251429,21262629,unknown,Jay Chou\范特西\周杰伦 - 威廉古堡.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9504402,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,安静.mp3,10,0/0,321300,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,334.288980,30086008,unknown,Jay Chou\范特西\周杰伦 - 安静.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,13425898,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,对不起.mp3,7,0/0,321928,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,225.462857,20291657,unknown,Jay Chou\范特西\周杰伦 - 对不起.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9072856,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,开不了口.mp3,5,0/0,321525,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,285.022041,25651984,unknown,Jay Chou\范特西\周杰伦 - 开不了口.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,11455226,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,忍者.mp3,4,0/0,322741,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,158.563265,14270694,unknown,Jay Chou\范特西\周杰伦 - 忍者.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,6396869,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,爱在西元前.mp3,1,0/0,321855,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,234.318367,21088653,unknown,Jay Chou\范特西\周杰伦 - 爱在西元前.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9427082,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,爸 我回來了.mp3,2,0/0,321844,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,235.702857,21213257,unknown,Jay Chou\范特西\周杰伦 - 爸 我回來了.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9482463,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,范特西,周杰伦,LAME3.98a,R&B,简单爱.mp3,3,0/0,321603,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,550,480,unknown,pc,bt470bg,unknown,48:55,271.046531,24394188,unknown,Jay Chou\范特西\周杰伦 - 简单爱.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,550,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10896203,2255,0.025056,1/90000,N/A,480,,,,,,,,,,,2001,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,跨时代.mp3,1,0/0,322120,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,194.510978,17505988,unknown,Jay Chou\跨时代\1501.跨时代.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,7832006,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,说了再见.mp3,2,0/0,321458,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,282.778725,25450085,unknown,Jay Chou\跨时代\1502.说了再见.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,11362718,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,烟花易冷.mp3,3,0/0,321565,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,263.448100,23710329,unknown,Jay Chou\跨时代\1503.烟花易冷.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,10589493,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,免费教学录像带.mp3,4,0/0,321725,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,239.154225,21523880,unknown,Jay Chou\跨时代\1504.免费教学录像带.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,9617744,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,好久不见.mp3,5,0/0,321633,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,252.528925,22727603,unknown,Jay Chou\跨时代\1505.好久不见.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,10152726,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,雨下一整晚.mp3,6,0/0,321606,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,256.760756,23108468,unknown,Jay Chou\跨时代\1506.雨下一整晚.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,10322001,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,我落泪 情绪零碎.mp3,7,0/0,323822,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,258.223625,23240126,unknown,Jay Chou\跨时代\1507.我落泪 情绪零碎.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,,10452336,N/A,0.000000,1/90000,N/A,383,,,,,,,,,,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦;杨瑞代,,,爱的飞行日记.mp3,8,0/0,321619,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,254.853825,22936844,unknown,Jay Chou\跨时代\1508.爱的飞行日记.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,10245733,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,自导自演.mp3,9,0/0,321615,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,255.402400,22986216,unknown,Jay Chou\跨时代\1509.自导自演.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,10267665,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,,,超人不会飞.mp3,10,0/0,321371,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,300.855456,27076991,unknown,Jay Chou\跨时代\1510.超人不会飞.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,12085791,N/A,0.000000,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
1,0,0,0,0,0,0,0,0,0,0,0,跨时代,周杰伦,LAME3.98 ,,嘻哈空姐.mp3,11,0/0,322498,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,500,383,unknown,pc,bt470bg,unknown,383:500,168.881633,15199347,unknown,Jay Chou\跨时代\1511.嘻哈空姐.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,500,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj420p,51,unknown,90000/1,1,1:1,s16p,44100,,6808008,2255,0.025056,1/90000,N/A,383,,,,,,,,,2010,,2010,,,,,,,,ÖÜ½ÜÂ×,,
0,0,0,0,0,0,0,0,0,0,0,0,霍元甲EP,周杰伦,,Hip-Hop ,霍元甲.mp3,1,0/0,320029,N/A,0,stereo,2,,MP3 (MPEG audio layer 3),mp3,0x0000,[0][0][0][0],1/44100,audio,,,,,,,,278.311750,3927535416,,Jay Chou\霍元甲EP\0901.霍元甲.mp3,MP2/3 (MPEG audio layer 2/3),mp3,,,N/A,0,,N/A,N/A,0,N/A,N/A,1,,51,unknown,0/0,,,s16p,44100,,11133494,0,0.000000,1/14112000,,,,,,,,,,,2006 ,,2006,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,龙战骑士.mp3,1,0/0,321742,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,271.151020,24403592,unknown,Jay Chou\魔杰座\1401.龙战骑士.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10905107,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,给我一首歌的时间.mp3,2,0/0,321863,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,253.622857,22826057,unknown,Jay Chou\魔杰座\1402.给我一首歌的时间.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10203989,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,蛇舞.mp3,4,0/0,322702,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,174.811429,15733029,unknown,Jay Chou\魔杰座\1403.蛇舞.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,7051520,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,花海.mp3,4,0/0,321785,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,264.646531,23818188,unknown,Jay Chou\魔杰座\1404.花海.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10644924,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,魔术先生.mp3,5,0/0,322075,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,227.683265,20491494,unknown,Jay Chou\魔杰座\1405.魔术先生.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,9166397,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,说好的幸福呢.mp3,6,0/0,321840,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,256.783673,23110531,unknown,Jay Chou\魔杰座\1406.说好的幸福呢.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10330418,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,兰亭序.mp3,7,0/0,321860,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,254.014694,22861322,unknown,Jay Chou\魔杰座\1407.兰亭序.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10219652,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,流浪诗人.mp3,8,0/0,322792,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,169.195102,15227559,unknown,Jay Chou\魔杰座\1408.流浪诗人.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,6826871,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,时光机.mp3,9,0/0,321514,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,312.032653,28082939,unknown,Jay Chou\魔杰座\1409.时光机.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,12540371,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,乔克叔叔.mp3,10,0/0,321841,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,256.653061,23098775,unknown,Jay Chou\魔杰座\1410.乔克叔叔.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,10325190,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,魔杰座,周杰伦,LAME3.97a,Pop,稻香.mp3,11,0/0,322114,8,0,stereo,2,center,Motion JPEG,mjpeg,0x0000,[0][0][0][0],0/1,video,491,357,unknown,pc,bt470bg,unknown,357:491,223.503673,20115331,unknown,Jay Chou\魔杰座\1411.稻香.mp3,MP2/3 (MPEG audio layer 2/3),mp3,0,491,N/A,1,-99,N/A,N/A,0,N/A,N/A,2,yuvj444p,51,unknown,90000/1,1,1:1,s16p,44100,Replay Gain,8999211,2255,0.025056,1/90000,N/A,357,,,,,,,,,2008,,2008,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,黄金甲EP,周杰伦,,,黄金甲 EP.mp3,1,0/0,320038,N/A,0,stereo,2,,MP3 (MPEG audio layer 3),mp3,0x0000,[0][0][0][0],1/44100,audio,,,,,,,,214.808100,3031371907,,Jay Chou\黄金甲EP\1101.黄金甲 EP.mp3,MP2/3 (MPEG audio layer 2/3),mp3,,,N/A,0,,N/A,N/A,0,N/A,N/A,1,,51,unknown,0/0,,,s16p,44100,,8593348,0,0.000000,1/14112000,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,黄金甲EP,周杰伦,,,菊花台 钢琴曲.mp3,2,0/0,320032,N/A,0,stereo,2,,MP3 (MPEG audio layer 3),mp3,0x0000,[0][0][0][0],1/44100,audio,,,,,,,,250.961550,3541569394,,Jay Chou\黄金甲EP\1102.菊花台 钢琴曲.mp3,MP2/3 (MPEG audio layer 2/3),mp3,,,N/A,0,,N/A,N/A,0,N/A,N/A,1,,51,unknown,0/0,,,s16p,44100,,10039486,0,0.000000,1/14112000,,,,,,,,,,,,,,,,,,,,,,,
